ballnumber,inningno,over,outcome,batter,bowler,comment
1,1,0.1,0,Yashasvi Jaiswal,Akash Singh,"Akash Singh to Yashasvi Jaiswal, no run,"
2,1,0.2,0,Yashasvi Jaiswal,Akash Singh,"Akash Singh to Yashasvi Jaiswal, no run,"
3,1,0.3,4,Yashasvi Jaiswal,Akash Singh,"Akash Singh to Yashasvi Jaiswal, Four,"
4,1,0.4,4,Yashasvi Jaiswal,Akash Singh,"Akash Singh to Yashasvi Jaiswal, Four,"
5,1,0.5,0,Yashasvi Jaiswal,Akash Singh,"Akash Singh to Yashasvi Jaiswal, no run,"
6,1,0.6,0,Yashasvi Jaiswal,Akash Singh,"Akash Singh to Yashasvi Jaiswal, no run,"
7,1,1.1,0,Jos Buttler,Tushar Deshpande,"Tushar Deshpande to Jos Buttler, no run,"
8,1,1.2,1,Jos Buttler,Tushar Deshpande,"Tushar Deshpande to Jos Buttler, 1 run,"
9,1,1.3,2,Yashasvi Jaiswal,Tushar Deshpande,"Tushar Deshpande to Yashasvi Jaiswal, 2 runs,"
10,1,1.4,w,Yashasvi Jaiswal,Tushar Deshpande,"Tushar Deshpande to Yashasvi Jaiswal, no run,                           Wicket - c S Dube b TU Deshpande batsmen out 10(8)"
11,1,1.5,0,Devdutt Padikkal,Tushar Deshpande,"Tushar Deshpande to Devdutt Padikkal, no run,"
12,1,1.6,1,Devdutt Padikkal,Tushar Deshpande,"Tushar Deshpande to Devdutt Padikkal, 1 run,"
13,1,2.1,1,Devdutt Padikkal,Maheesh Theekshana,"Maheesh Theekshana to Devdutt Padikkal, 1 run,"
14,1,2.2,1,Jos Buttler,Maheesh Theekshana,"Maheesh Theekshana to Jos Buttler, 1 run,"
15,1,2.3,4,Devdutt Padikkal,Maheesh Theekshana,"Maheesh Theekshana to Devdutt Padikkal, Four,"
16,1,2.4,4,Devdutt Padikkal,Maheesh Theekshana,"Maheesh Theekshana to Devdutt Padikkal, Four,"
17,1,2.5,0,Devdutt Padikkal,Maheesh Theekshana,"Maheesh Theekshana to Devdutt Padikkal, no run,"
18,1,2.6,0,Devdutt Padikkal,Maheesh Theekshana,"Maheesh Theekshana to Devdutt Padikkal, no run,"
19,1,3.1,1,Jos Buttler,Akash Singh,"Akash Singh to Jos Buttler, 1 run,"
20,1,3.2,2,Devdutt Padikkal,Akash Singh,"Akash Singh to Devdutt Padikkal, 2 runs,"
21,1,3.3,1,Devdutt Padikkal,Akash Singh,"Akash Singh to Devdutt Padikkal, 1 run,"
22,1,3.4,1,Jos Buttler,Akash Singh,"Akash Singh to Jos Buttler, 1 run,"
23,1,3.5,0,Devdutt Padikkal,Akash Singh,"Akash Singh to Devdutt Padikkal, no run,"
24,1,3.6,1,Devdutt Padikkal,Akash Singh,"Akash Singh to Devdutt Padikkal, 1 run,"
25,1,4.1,1,Devdutt Padikkal,Maheesh Theekshana,"Maheesh Theekshana to Devdutt Padikkal, 1 run,"
26,1,4.2,6,Jos Buttler,Maheesh Theekshana,"Maheesh Theekshana to Jos Buttler, Six,"
27,1,4.3,1,Jos Buttler,Maheesh Theekshana,"Maheesh Theekshana to Jos Buttler, 1 run,"
28,1,4.4,4,Devdutt Padikkal,Maheesh Theekshana,"Maheesh Theekshana to Devdutt Padikkal, Four,"
29,1,4.5,1,Devdutt Padikkal,Maheesh Theekshana,"Maheesh Theekshana to Devdutt Padikkal, 1 run,"
30,1,4.6,4,Jos Buttler,Maheesh Theekshana,"Maheesh Theekshana to Jos Buttler, Four,"
31,1,5.1,4,Devdutt Padikkal,Tushar Deshpande,"Tushar Deshpande to Devdutt Padikkal, Four,"
32,1,5.2,4,Devdutt Padikkal,Tushar Deshpande,"Tushar Deshpande to Devdutt Padikkal, Four,"
33,1,5.3,1,Devdutt Padikkal,Tushar Deshpande,"Tushar Deshpande to Devdutt Padikkal, 1 run,"
34,1,5.4,1,Jos Buttler,Tushar Deshpande,"Tushar Deshpande to Jos Buttler, 1 run,"
